productId;title;productPageUrl;imageUrl;offerPrice;numReviews;customerRating;upc;quantity
1640WRVR7HRN;Soleil Personal Electric Ceramic Heater, 250 Watt MH-01, Black;https://www.walmart.com/ip/Soleil-Personal-Electric-Ceramic-Heater-250-Watt-MH-01-Black/54562671;https://i5.walmartimages.com/asr/f088045e-5be5-4fec-a3d5-e537b92bf4d1_1.8f997be023bbd8ecf36cfd1a817a32e0.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;4.92;204;4.0637;0081590002014;1920
1YIZJ9HB99XL;Duck Brand General Purpose Masking Tape - Beige, .7 in. x 55 yd.;https://www.walmart.com/ip/Duck-Brand-General-Purpose-Masking-Tape-Beige-7-in-x-55-yd/17510804;https://i5.walmartimages.com/asr/74ed2d31-ca12-43dd-a27b-a730695d69c5_2.4b839eadca36d16cca25a02d449330d5.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;1.66;10;4.2;0007535305479;316
45ZIFAAVDPJQ;Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free - 3 ct;https://www.walmart.com/ip/Brita-Standard-Water-Filter-Standard-Replacement-Filters-for-Pitchers-and-Dispensers-BPA-Free-3-ct/1604723?wpa_bd=1558214538967&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=be64ae03bdf712951b7d7b4162be5a7c&wpa_aux_info=__aux_info__&wpa_tag=__tag__&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__;https://i5.walmartimages.com/asr/3fcd0d7f-beb2-4b75-86d1-91e57e344627_1.6e18122dea6390d033d0da9d1d813946.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;14.97;1045;4.6325;0006025835503;4749
6GEY4FGXJWKJ;Achim Nexus 6x36 Self Adhesive Vinyl Floor Planks - 10 Planks/15 sq. ft.;https://www.walmart.com/ip/Achim-Nexus-6x36-Self-Adhesive-Vinyl-Floor-Planks-10-Planks-15-sq-ft/51742068;https://i5.walmartimages.com/asr/90e1cf15-b95e-44cc-8ba3-67bf65ee4d65_2.ca4cc41180807ca6f4b3727702384185.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;12.98;46;3.4348;0005400624217;3168
293DRPPSR1MT;Brita Small Space Saver Water Pitcher with Filter - BPA Free - White - 6 Cup;https://www.walmart.com/ip/Brita-Small-Space-Saver-Water-Pitcher-with-Filter-BPA-Free-White-6-Cup/1604724?wpa_bd=1558214538967&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=bab89840c725096ecb04a35e6e106948&wpa_aux_info=__aux_info__&wpa_tag=__tag__&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__;https://i5.walmartimages.com/asr/90ff905c-471e-4de0-918e-4213ee81c0d2_1.8e104874915c5d95b6afcd234fba371d.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;18.97;753;4.0558;0006025835250;2971
1GNLFTHZVK0W;Milescraft 1213 DoorMortiseKit;https://www.walmart.com/ip/Milescraft-1213-DoorMortiseKit/22967903;https://i5.walmartimages.com/asr/6fe665f5-d284-4db2-947d-0b6a10905de0_1.ce1b272cda05220dd492f55fe6d540d1.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;29.99;;;0073788812130;165
1DWUXH7KA833;Rainbow Wishes Giant Wall Decals;https://www.walmart.com/ip/Rainbow-Wishes-Giant-Wall-Decals/52163216;https://i5.walmartimages.com/asr/588964a4-1790-425b-bc3b-5c31a25d5fbc_1.d3983d18746494ab46a3710c5fce16a2.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;31.88;1;5;0088751309321;52
1HHIKW8Y7R8L;GoGreen Power 6 Outlet Surge Protector, 16103MS 2.5' cord, White;https://www.walmart.com/ip/GoGreen-Power-6-Outlet-Surge-Protector-16103MS-2-5-cord-White/46097919;https://i5.walmartimages.com/asr/748b82d2-4b15-4dde-8458-7f5efdf7f25d_1.c74224758032b61fd3d97ac1ef56e583.png?odnWidth=200&odnHeight=200&odnBg=ffffff;4.58;41;4.6098;0081533301636;5958
2SZQDBSD0CEH;Honeywell Table Air Circulator Fan, HT-900, Black;https://www.walmart.com/ip/Honeywell-Table-Air-Circulator-Fan-HT-900-Black/16503230;https://i5.walmartimages.com/asr/ab523769-17e7-4fd6-9c7b-439df2573bf4_1.651f3881c41c9b3b32744a0179a3b021.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;12.91;700;4.4771;0009292670900;9551
5EPKL1HP7B1T;"Muscle Rack 48""W x 24""D x 72""H 5-Shelf Steel Shelving, Black";https://www.walmart.com/ip/Muscle-Rack-48-W-x-24-D-x-72-H-5-Shelf-Steel-Shelving-Black/21685762;https://i5.walmartimages.com/asr/bd502e89-531f-4b11-813d-f208037e2356_1.c914cdd551d1c586ee0e5d6c308cb006.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff;72.45;1734;3.7532;0003544108534;816
